,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
51,50,Joel Przybilla,"Nov 4, '00, MIL vs. DET",21,13,592,11733,896,1624,0,3,501,900,1112,3665,256,157,836,574,1604,2293,.552,.000,.557,19.8,3.9,6.2,0.4,2001
52,51,Michael Redd,"Nov 2, '00, MIL @ HOU",21,12,629,20104,4207,9405,1045,2751,2513,2998,622,2411,1338,579,66,963,1002,11972,.447,.380,.838,32.0,19.0,3.8,2.1,2001
53,52,Quentin Richardson,"Oct 31, '00, LAC @ UTA",20,13,783,20785,2923,7360,1167,3288,1019,1420,933,3666,1138,607,148,868,1529,8032,.397,.355,.718,26.5,10.3,4.7,1.5,2001
54,53,Terrance Roberson,"Nov 20, '00, CHH @ TOR",24,1,3,13,0,2,0,1,0,0,0,1,1,0,0,2,3,0,.000,.000,,4.3,0.0,0.3,0.3,2001
55,54,Jamal Robinson,"Nov 1, '00, MIA vs. ORL",27,1,6,72,3,22,0,2,0,0,3,11,2,6,0,3,7,6,.136,.000,,12.0,1.0,1.8,0.3,2001
56,55,Soumaila Samake,"Oct 31, '00, NJN vs. CLE",22,2,47,303,28,72,0,0,12,26,32,76,5,2,19,6,36,68,.389,,.462,6.4,1.4,1.6,0.1,2001
57,56,Pepe Sánchez,"Oct 31, '00, PHI @ NYK",23,2,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,.273,.000,1.000,4.9,0.5,0.6,1.3,2001
58,57,Daniel Santiago,"Oct 31, '00, PHO @ GSW",24,4,122,1418,153,326,0,0,111,162,76,260,38,39,47,85,231,417,.469,,.685,11.6,3.4,2.1,0.3,2001
59,58,Jabari Smith,"Jan 12, '01, SAC @ DEN",23,4,108,1063,125,303,1,8,78,113,49,178,66,37,26,54,166,329,.413,.125,.690,9.8,3.0,1.6,0.6,2001
60,59,Mike Smith,"Mar 4, '01, WAS vs. UTA",24,1,17,180,19,59,3,18,10,16,10,22,10,5,3,7,8,51,.322,.167,.625,10.6,3.0,1.3,0.6,2001
61,60,DeShawn Stevenson,"Oct 31, '00, UTA vs. LAC",19,13,824,18396,2238,5515,550,1617,904,1296,410,1832,1355,423,134,814,1140,5930,.406,.340,.698,22.3,7.2,2.2,1.6,2001
62,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2001
63,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2001
64,61,Stromile Swift,"Oct 31, '00, VAN vs. SEA",21,9,547,10804,1713,3623,2,27,1154,1650,885,2535,275,354,683,690,1357,4582,.473,.074,.699,19.8,8.4,4.6,0.5,2001
65,62,Dragan Tarlać,"Nov 3, '00, CHI vs. NJN",27,1,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,.394,,.758,13.9,2.4,2.8,0.7,2001
66,63,Jake Tsakalidis,"Nov 2, '00, PHO vs. POR",21,7,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,.490,.000,.657,15.9,4.8,3.9,0.3,2001
